departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
ANTIOQUIA,5,SONSÓN,5756,Rural,Sector Perrillo,2004,12,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,5.709167,-75.310278,Sin informacion,"(5.709167, -75.310278)",Fuerza pública
ANTIOQUIA,5,SAN FRANCISCO,5652,Rural,Vereda Los Guacales,2004,8,Mayor de 18 años,no,Civil,Mujer,Herido,5.965414,-75.10198,Sin informacion,"(5.965414, -75.10198)",Viajando
ANTIOQUIA,5,SEGOVIA,5736,Rural,Km. 556 Del Oleoducto Colombia,1992,8,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.136667,-74.753889,Sin informacion,"(7.136667, -74.753889)",Fuerza pública
ANTIOQUIA,5,SEGOVIA,5736,Rural,Km. 556 Del Oleoducto Colombia,1992,8,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.136667,-74.753889,Sin informacion,"(7.136667, -74.753889)",Fuerza pública
ANTIOQUIA,5,SEGOVIA,5736,Rural,Km. 556 Del Oleoducto Colombia,1992,8,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.136667,-74.753889,Sin informacion,"(7.136667, -74.753889)",Fuerza pública
ANTIOQUIA,5,COCORNÁ,5197,Rural,Vereda Los Mangos,2003,6,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.058001,-75.185085,Sin informacion,"(6.058001, -75.185085)",Sin Información
ANTIOQUIA,5,COCORNÁ,5197,Rural,Vereda Los Mangos,2003,6,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.058001,-75.185085,Sin informacion,"(6.058001, -75.185085)",Sin Información
ANTIOQUIA,5,COCORNÁ,5197,Rural,Vereda Los Mangos,2003,6,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.058001,-75.185085,Sin informacion,"(6.058001, -75.185085)",Sin Información
ANTIOQUIA,5,COCORNÁ,5197,Rural,Vereda Los Mangos,2003,6,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.058001,-75.185085,Sin informacion,"(6.058001, -75.185085)",Sin Información
ANTIOQUIA,5,EL BAGRE,5250,Rural,Sin información,2004,2,Mayor de 18 años,no,Civil,Hombre,Herido,7.597383,-74.809065,Sin informacion,"(7.597383, -74.809065)",Sin Información
ANTIOQUIA,5,SAN FRANCISCO,5652,Rural,Sin información,2005,3,Menor de 18 años,no,Civil,Hombre,Herido,5.965414,-75.10198,Sin informacion,"(5.965414, -75.10198)",Sin Información
ANTIOQUIA,5,DABEIBA,5234,Rural,Sin información,2006,1,Mayor de 18 años,no,Civil,Hombre,Herido,7.002761,-76.263894,Sin informacion,"(7.002761, -76.263894)",Sin Información
ANTIOQUIA,5,SANTA FE ANTIOQUIA,5042,Rural,Vereda Currulao,1996,5,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.558578,-75.825988,Sin informacion,"(6.558578, -75.825988)",Fuerza pública
ANTIOQUIA,5,SANTA FE ANTIOQUIA,5042,Rural,Vereda Currulao,1996,5,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.558578,-75.825988,Sin informacion,"(6.558578, -75.825988)",Fuerza pública
ANTIOQUIA,5,ANORÍ,5040,Rural,Vereda Solano,2005,9,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.350278,-75.153333,Sin informacion,"(7.350278, -75.153333)",Fuerza pública
ANTIOQUIA,5,ANORÍ,5040,Rural,Vereda Solano,2005,9,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.350278,-75.153333,Sin informacion,"(7.350278, -75.153333)",Fuerza pública
ANTIOQUIA,5,NARIÑO,5483,Rural,Sin información,2004,4,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,5.605556,-75.215556,Sin informacion,"(5.605556, -75.215556)",Fuerza pública
ANTIOQUIA,5,ITUANGO,5361,Rural,Vereda Cristalina,2004,6,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.171637,-75.764403,Sin informacion,"(7.171637, -75.764403)",Fuerza pública
ANTIOQUIA,5,MURINDÓ,5475,Rural,Sin información,2004,6,Mayor de 18 años,no,Civil,Hombre,Muerto,6.976947,-76.818444,Sin informacion,"(6.976947, -76.818444)","Pasando, estando cerca"
ANTIOQUIA,5,SONSÓN,5756,Rural,Area General,2006,1,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,5.653889,-75.322778,Sin informacion,"(5.653889, -75.322778)",Fuerza pública
ANTIOQUIA,5,SONSÓN,5756,Rural,Area General,2006,1,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,5.653889,-75.322778,Sin informacion,"(5.653889, -75.322778)",Fuerza pública
ANTIOQUIA,5,CARACOLÍ,5142,Rural,Sin información,2005,12,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.409928,-74.757164,Sin informacion,"(6.409928, -74.757164)",Fuerza pública
ANTIOQUIA,5,ARGELIA,5055,Rural,Vereda El Silencio,2002,9,Mayor de 18 años,no,Civil,Hombre,Herido,5.731577,-75.1416,Sin informacion,"(5.731577, -75.1416)",Sin Información
ANTIOQUIA,5,ARGELIA,5055,Rural,Vereda El Silencio,2002,9,Mayor de 18 años,no,Civil,Hombre,Herido,5.731577,-75.1416,Sin informacion,"(5.731577, -75.1416)",Sin Información
ANTIOQUIA,5,GRANADA,5313,Rural,Sin información,2001,8,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.191944,-75.132,Sin informacion,"(6.191944, -75.132)",Fuerza pública
ANTIOQUIA,5,GRANADA,5313,Rural,Sin información,2001,8,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.191944,-75.132,Sin informacion,"(6.191944, -75.132)",Fuerza pública
ANTIOQUIA,5,SONSÓN,5756,Rural,Rio Verde De Los Henaos,2004,2,Mayor de 18 años,no,Civil,Hombre,Herido,5.709167,-75.310278,Sin informacion,"(5.709167, -75.310278)",Sin Información
ANTIOQUIA,5,SAN FRANCISCO,5652,Rural,Vereda Cañada-Honda,2001,8,Menor de 18 años,no,Civil,Hombre,Herido,5.965414,-75.10198,Sin informacion,"(5.965414, -75.10198)",Otra
ANTIOQUIA,5,DABEIBA,5234,Rural,Corregimiento De Juntas Uramita,2005,9,Mayor de 18 años,no,Civil,Hombre,Herido,7.002761,-76.263894,Sin informacion,"(7.002761, -76.263894)",Sin Información
ANTIOQUIA,5,SONSÓN,5756,Rural,Vereda Santa Marta,2005,5,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,5.7725,-75.082778,Sin informacion,"(5.7725, -75.082778)",Fuerza pública
